"ObjectID";0;"Any number for value";""
"ID";1;"Any number for value";""
"1";1;"Any number for value";""
"1";1;"Any number for value";""
"a00";2;"Hypsografic curve, minimum [m]";"GIS"
"a01";13;"Hypsografic curve, lower 10% [m]";"GIS"
"a02";21;"Hypsografic curve, lower 20% [m]";"GIS"
"a03";26;"Hypsografic curve, lower 30% [m]";"GIS"
"a04";30;"Hypsografic curve, lower 40% [m]";"GIS"
"a05";32;"Hypsografic curve, lower 50% [m]";"GIS"
"a06";35;"Hypsografic curve, lower 60% [m]";"GIS"
"a07";37;"Hypsografic curve, lower 70% [m]";"GIS"
"a08";39;"Hypsografic curve, lower 80% [m]";"GIS"
"a09";44;"Hypsografic curve, lower 90% [m]";"GIS"
"a10";54;"Hypsografic curve, maksimum [m]";"GIS"
"lat";59.49586;"Latitude, middle point catchment";"GIS"
"lon";24.85998;"Longitude, middlepoint catchment";"GIS"
"pkorr";1.0;"Correction of precip  [-]";"Calibrate"
"skorr";1.0;"Correction of precip as snow  [-]";"Calibrate"
"u";2.84;"Average wind speed [m/s]";"Fixed/calibrate"
"pro";0.05;"Fraction possibe liquid water content in snow [-]";"Fixed/calibrate"
"TX";0.425;"Threshold temperature rain/snow [°C]";"Fixed/calibrate"
"a0P";38.33;"Snow distribution parameter, see Skaugen Weltzien (2016) [-]";"Calibrate/litterature/measure"
"aoIP";38.33;"Snow distribution parameter, see Skaugen Weltzien (2016) [-]";"Calibrate/litterature/measure"
"dP";505.7;"Snow distribution parameter, see Skaugen Weltzien (2016) [-]";"Calibrate/litterature/measure"
"dIP";505.7;"Snow distribution parameter, see Skaugen Weltzien (2016) [-]";"Calibrate/litterature/measure"
"Timeresinsec";300;"Timeresolution in seconds [s]";""
"MAD";0.12;"Annual mean discharge [m³/s]";"Measure/Calibrate"
"area";3203784.33736598;"Area in [m²]";"GIS"
"NoL";5;"No of layers , 1 overland lag and 4 subsurface layer  [-]";"Fixed"
"R";0.3;"Field cap., degree of saturation before percolation to saturated zone  [-]";"Fixed"
"GshIntP";2.3;"Shape par. for dist. of recession charact.: for subsurface and overland fl.velocities  [-]";"Fixed"
"GscIntP";0.00015;"Shape par. for dist. of recession charact.: for subsurface and overland fl.velocities  [-]";"Calibrate"
"OFVP";0.0022;"Overland flow celerity [m/s] permable areas";"Calibrate/litterature/measure"
"OFVIP";0.0022;"Overland flow celerity [m/s] impermable areas";"Calibrate/litterature/measure"
"Lv";0.01;"Water celerity in lake  [m/s]";"Calibrate"
"rv";1.45;"Water celerity in river network  [m/s]";"Measure/Calibrate"
"Pfrac";0.85;"Fraction permeable areas [-]";"GIS"
"IPfrac";0.15;"Fraction impermeable areas [-]";"GIS"
"Bogfrac";0;"Fraction wetlands [-]";"GIS"
"Elakefrac";0;"Fraction effective lake [-]";"GIS"
"Glacfrac";0;"Fraction glacier [-]";"GIS"
"maxP";257.490089196681;"Max distance permable areas [m]";"GIS"
"maxIP";259.245107861929;"Max distance impermable areas [m]";"GIS"
"maxBog";0;"Max distance wetlands [m]";"GIS"
"maxGl";0;"Max distance glaciers [m]";"GIS"
"maxRN";2919.37586931833;"Max distance in rivernetwork [m]";"GIS"
"midP";60.239839568108;"Mean distance permable areas [m]";"GIS"
"midIP";56.2263747748027;"Mean distance impermable areas [m]";"GIS"
"midBog";0;"Mean distance wetlands [m]";"GIS"
"midGl";0;"Mean distance glaciers [m]";"GIS"
"midRN";1723.87405385628;"Mean distance in rivernetwork [m]";"GIS"
"stdGl";0;"Standard deviation distance glaciers [m]";"GIS"
"stdRN";708.10721332022;"Standard deviation distance in rivernetwork [m]";"GIS"
"Pz";0.0;"Areafraction of 0 m distance to rivernetwork, permeable area  [-]";"GIS"
"IPz";0.0;"Areafraction of 0 m distance to rivernetwork, impermeable area  [-]";"GIS"
"zBog";0;"Areafraction of 0 m distance to rivernetwork, wetlands  [-]";"GIS"
"g1";0;"Fraction glacier in 1'st elev.zone  [-]";"GIS"
"g2";0;"Fraction glacier in elev. zone 2 [-]";"GIS"
"g3";0;"Fraction glacier in elev. zone 3 [-]";"GIS"
"g4";0;"Fraction glacier in elev. zone 4 [-]";"GIS"
"g5";0;"Fraction glacier in elev. zone 5 [-]";"GIS"
"g6";0;"Fraction glacier in elev. zone 6 [-]";"GIS"
"g7";0;"Fraction glacier in elev. zone 7 [-]";"GIS"
"g8";0;"Fraction glacier in elev. zone 8 [-]";"GIS"
"g9";0;"Fraction glacier in elev. zone 9 [-]";"GIS"
"g10";0;"Fraction glacier in elev. zone 10 [-]";"GIS"
"meandailyP";0.1;"Mean daily precipittaion [mm]";"Measure/estimate"
"meandailyT";5.5;"Mean daily temperature  [°C]";"Measure/estimate"
"Snfjellfrac";0;"Fraction of bare rock";"GIS"
"Persons";0.0;"Number of persons with water use [180 L/day/person] , external water";"Measure/estimate"
"ICapP";90.0;"Infiltration capacity [mm/hour], permeable areas";"Measure/estimate"
"ICapIP";90.0;"Infiltration capacity [mm/hour], impermeable areas";"Measure/estimate"
"PCritflux";2.78;"Crit. flux for creating a channel [m3/Timeresinsec], Tsegaw et al., 2019, P area";"Fixed/calibrate"
"IPCritflux";2.78;"Crit. flux for creating a channel [m3/Timeresinsec], Tsegaw et al., 2019, IP area";"Fixed/calibrate"
"GshIntIP";1.0;"Shape par. for dist. of recession charact.: for subsurface and overland fl.velocities  [-]";"Fixed"
"GscIntIP";0.0012;"Shape par. for dist. of recession charact.: for subsurface and overland fl.velocities  [-]";"Calibrate"
